Роль,Прізвище,Примітка,Аркуш
,Гецко,,16
,Гоменюк,,16
,Слободенко,,16
,Проданов,,16
,Уманьский,,16
,Цуманов?,,16
,Крушеницкий,,16
,Бабик,,16
,Сорокин,,16
,Волосевич,,16
,Киричук,,16
,Сауляк,,16
,Худобик,,16
,Коваленко,,16
,Гончик,,16
,Тиховский,,16
,Колесников,,17
,Вознюк,,17
,Сивастянов,,17
,Пащенко,,17
,Базытюк?,,17
,Фиценко?,,17
,Гринич,,17
,Кондешов,,17
,Чубатый,,17
,Люшин,,17
,Чернишев,,17
,щербатый,,17
,Станькевич,,17
,Волков,,17
,Ленивый,,17
,Ляшевский,,17
,Шахрай,,17
,Техинов?,,17
,Марфинов,,17
,Романчук,,17
,Сиротенко,,17
,Мурзич,,17
,Лазаренко,,17
,Чишук?,,17
,Ковальчук,,17
,Ткачук,,17
,Свидовый,,17
,Лукин,,17
,Опентанюк?,,17
,Голошапчук,,17
,Тыминский,,17
,Городецкий,,17
,Драка,,17
,Грек,,17
,Железный,,17
,Хишлев?,,17
,Прибега?,,17
,Копитицкий,,17
,Бабийчук,,17
,Романенко,,17
,Козлов,,17
,Бабийчук,,18
,Фрайлов,,18
,Перевознюк,,18
,Байков,,18
,Соипов?,,18
,Яценко,,18
,Михневич,,18
,Задыркевич,,18
,Аксамитный,,18
,Полищук,,18
,Горжов,,18
,Щитинский,,18
,Коцюк,,18
,Рылович,,18
,Чиншовой,,18
,Зубов,,18
,Стражников,,18
,Марцишин,,18
,Захарчук,,18
,Совиюк,,18
,Кулевич,,18
,Коровка,,18
,Вакуленко,,18
,Сприцкий?,,18
,Ипштюк?,,18
,Дубовскии,,18
,Кмет,,18
,Пастушков,,18
,Гаврилюк,,18
,Ганчарук,,18
,Рибалюк,,18
,Щербатюк,,18
,Маляренко,,18
,Боико,,18
,Морозов,,18
,Савченко,,18
,Ткачук,,18
,Голубов,,18
,Руденко,,18
,Цамолин?,,18
,Бозик?,,18
,Рогулько,,18
,Задунаев,,19
,Алексиенко,,19
,Гойсюниш,,19
,Бунтов,,19
,Кошибаев,,19
,Форостянский,,19
,Кофя?,,19
,Николаскии?,,19
,Суржов,,19
отставные Рядовые,Очеретка,,19
,Орлов,,19
,Башевич,,19
,Завирицкий,,19
,Юрков,,19
,Осадчук,,19
,Парегин?,,19
,Квасин,,20
,Гончаров,,20
,Китияк,,20
,Бойко,,20
,Ковальчук,,20
